ID,Parameter_ID,Language_ID,Value,Source
balu-subject,subject-case,gvn,"subject NP appears in S function (nominative)",§4.9.1
comparison-particle-yala-case,comparison-particle-argument-case,gvn,"NP in absolutive (nominative if pronoun)",§4.9.3(i)
modal-particle-nguba,modal-particle,gvn,"assumption and alternative modality",§4.9.3(ii)
nguba-precedes-assumption,marker-precedes-assumption,gvn,always,§4
interjections-position,interjections-position,gvn,"complete utterance or sentence-initial",§4.10
interjections-boundary-marking,interjections-boundary-marking,gvn,"set off from following material by a slight pause when preceding a sentence",§4.10
interjections-phonological-pattern,interjections-phonological-pattern,gvn,"monosyllabic and/or ending with a glottal stop or breathy voice",§4.10
pronoun-noun-sequence,pronoun-noun-sequence,gvn,anaphoric-or-definite,§5
noun-pronoun-sequence,noun-pronoun-sequence,gvn,new-reference,§5
first-person-plural-exclusive,first-person-plural-exclusive,gvn,present,§first-person-plural-exclusive
second-person-plural,second-person-plural,gvn,present,§second-person-plural
third-person-plural,third-person-plural,gvn,present,§third-person-plural
cataphoric-demonstrative,cataphoric-demonstrative,gvn,present (yanya),§(625)
demonstrative-dual-function,demonstrative-dual-function,gvn,yes,§5.2.1.2
demonstrative-cataphoric,demonstrative-cataphoric,gvn,yanya,§5.2.1.2
demonstrative-anaphoric,demonstrative-anaphoric,gvn,yinya,§5.2.1.2
zero-anaphora,zero-anaphora,gvn,"dual-convention (interpreted as same referent in one context and contextually appropriate participant in another, with the latter overriding)",§5.2.1.2
past-tense-narrative,narrative-tense,gvn,past,§5.2.2
simultaneous-subordinate-clauses,simultaneous-subordinate-clauses,gvn,limited-brief-span,§5.2.2
narrative-reference-switching,narrative-reference-switching,gvn,leapfrog,§5.2.2
clitic-kuda-meanwhile,temporal-clitic-meanwhile,gvn,present,§5.2.2
clitic-da-then,temporal-clitic-then,gvn,present,§5.2.2
clitic-ngvrr-first,temporal-clitic-first,gvn,present,§5.2.2
clitic-wawu-after,temporal-clitic-after,gvn,present,§5.2.2
anaphoric-linkage,anaphoric-linkage,gvn,"present; realized through coordinated clause repetition rather than dependent structures",§5.2.3
clause-repetition-word-order,anaphoric-linkage-word-order-change,gvn,"non-coordinated repetition sometimes exhibits word order change",§5.2.3
free-word-order,free-word-order,gvn,yes,§5.3.2
default-word-order,default-word-order,gvn,"S/A 0 V",§5.3.2
leftmost-topic-position,leftmost-topic-position,gvn,yes,§5.3.2
zero-np-topic-animacy,zero-np-topic-animacy,gvn,"conditional: used when the referent of the zero NP is higher in animacy than the referent of the A NP",§5
zero-np-topic-precedent,zero-np-topic-precedent,gvn,"conditional: used when the referent of the zero NP was previously established as topic",§5
zero-anaphora-agent,zero-anaphora-agent,gvn,"occurs where the agent has zero reference",§5
zero-np-reprise,zero-np-reprise,gvn,"used to front the zero NP (reprise)",§5.4.1
overt-zero-np-topic,overt-zero-np-topic,gvn,uncommon,§5.3.2.2
topic-introduction-transitive-object,topic-introduction-transitive-object,gvn,absent,§5.3.2.2
topic-introduction-function,topic-introduction-function,gvn,S+A,§5.3.2.2
default-topic-syntactic-function,default-topic-syntactic-function,gvn,S,Table 5.1
secondary-topic-syntactic-function,secondary-topic-syntactic-function,gvn,A,Table 5.1
switch-function-marking,switch-function-marking,gvn,absent,Table 5.1
pronoun-syntactic-differentiation,pronoun-syntactic-differentiation,gvn,undifferentiated,Table 5.1
zero-anaphora-constraint,zero-anaphora-constraint,gvn,restricted-when-topic-A,Table 5.1
topic-referent-hierarchy,topic-referent-hierarchy,gvn,"first/second-person > animate > inanimate",Table 5.1
topic-prominent-language,topic-prominence,gvn,yes,§5.3.2.4
subject-prominent-language,subject-prominence,gvn,yes,§5.3.2.4
subject-topic-preference,subject-topic-preference,gvn,intransitive preferred over transitive,§5.3.2.4
clause-fronting-emphasis,emphatic-fronting,gvn,present,§5.4
emphatic-clitic-usage,emphatic-clitics,gvn,"ku; lu/la; bi",§5.4
reprise-constructions,reprise-constructions,gvn,frequent,§5.4
nyk-non-events-verb-inflection,non-events-verb-inflection,nyk,verb inflection,§5.5
gvn-events-emphatic-clitic,events-emphatic-clitic,gvn,emphatic clitic,§5.5
emphatic-clitic-lu,event-marking-clitic,gvn,event-marking,§5.5.1.1
motion-verb-kada-y,motion-verb-goal-perspective,gvn,transit_and_arrival,§5.5.2
motion-verb-dunga-y,motion-verb-participant-perspective,gvn,departure_or_movement,§5.5.2
spatial-setting-tense,non-past-tense-for-spatial-setting,gvn,common,§5.5.2
narrative-tense,past-tense-narrative,gvn,default,§5.5.2
particle-kari,narrative-collateral-particle-kari,gvn,negates implicit alternatives,§5.5.3
particle-yamba,narrative-collateral-particle-yamba,gvn,adds contrastive/adversative aspect,§5.5.3
particle-balu,narrative-collateral-particle-balu,gvn,implies speaker’s wrong assumption,§5.5.3
past-tense,past-tense,gvn,present,Charlie Tayley
dual-number,dual-number,gvn,present,Charlie Tayley
